dataset_key,year,source_key,page_url,download_url,member_name,total_cells,rows_distintos,cols_distintas,cells_numericas,cells_texto
2014/Formanto CSV/2014_VehículosMatriculadosBDD.csv,2014,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2014_spss.zip,2014/Formanto CSV/2014_VehículosMatriculadosBDD.csv,5504729,100000,10,1504218,4000511
2013/Formato CSV/2013_VehículosMatriculadosBDD.sav.csv,2013,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2013_spss.zip,2013/Formato CSV/2013_VehículosMatriculadosBDD.sav.csv,17195980,100000,10,4616543,12579437
2012/Formanto CSV/2012_VehículosMatriculadosBDD.csv,2012,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2012_spss.zip,2012/Formanto CSV/2012_VehículosMatriculadosBDD.csv,15581590,100000,10,4136997,11444593
2011/Formanto CSV/2011_VehículosMatriculadosBDD.csv,2011,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2011_spss.zip,2011/Formanto CSV/2011_VehículosMatriculadosBDD.csv,14880240,100000,10,3909380,10970860
2010/Formanto CSV/2010_VehículosMatriculadosBDD.csv,2010,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2010_spss.zip,2010/Formanto CSV/2010_VehículosMatriculadosBDD.csv,12263500,100000,10,3106920,9156580
2009/Formanto CSV/2009_VehículosMatriculadosBDD.csv,2009,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2009_spss.zip,2009/Formanto CSV/2009_VehículosMatriculadosBDD.csv,8723890,100000,10,2182139,6541751
2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,2008,bases,https://www.ecuadorencifras.gob.ec/estadistica-de-transporte-bases-de-datos/,https://www.ecuadorencifras.gob.ec/documentos/datos/Estadisticas_Economicas/Estadisticas_Transporte/bdd_vehiculos_matri_2008_spss.zip,2008/Formanto CSV/2008_VehículosMatriculadosBDD.csv,9189090,100000,10,2251369,6937721
